-140.975443,-446.999992,185.444185,Obraz,200,280,-140,-450,183,14:4:22:376
-141.304762,-447.0,187.982019,Obraz,200,280,-140,-450,183,14:4:22:403
-141.062637,-447.000013,187.997887,Obraz,200,280,-140,-450,183,14:4:22:430
-140.31134,-446.999995,186.194443,Obraz,200,280,-140,-450,183,14:4:22:455
-140.291799,-446.999997,187.92859,Obraz,200,280,-140,-450,183,14:4:22:483
-139.650297,-446.999993,189.58681,Obraz,200,280,-140,-450,183,14:4:22:512
-137.523569,-447.0,190.86478,Obraz,200,280,-140,-450,183,14:4:22:540
-136.734694,-447.0,191.152735,Obraz,200,280,-140,-450,183,14:4:22:568
-137.009606,-446.999995,189.034826,Obraz,200,280,-140,-450,183,14:4:22:596
-137.053617,-446.999999,188.301795,Obraz,200,280,-140,-450,183,14:4:22:624
-136.497771,-447.000005,190.729626,Obraz,200,280,-140,-450,183,14:4:22:652
-136.841696,-447.000005,191.424974,Obraz,200,280,-140,-450,183,14:4:22:680
-137.181065,-447.000006,192.744699,Obraz,200,280,-140,-450,183,14:4:22:708
-137.533985,-447.000005,192.751852,Obraz,200,280,-140,-450,183,14:4:22:736
-137.117262,-446.999995,190.582779,Obraz,200,280,-140,-450,183,14:4:22:764
-137.189509,-447.000006,187.568475,Obraz,200,280,-140,-450,183,14:4:22:792
-137.530705,-446.99999,185.486115,Obraz,200,280,-140,-450,183,14:4:22:820
-137.800962,-447.000006,182.50374,Obraz,200,280,-140,-450,183,14:4:22:848
-138.047932,-446.999991,182.811254,Obraz,200,280,-140,-450,183,14:4:22:876
-143.748103,-446.999998,207.505069,Obraz,200,280,-140,-450,183,14:4:22:904
-149.409464,-446.999999,232.931835,Obraz,200,280,-140,-450,183,14:4:22:931
-148.804846,-446.999997,232.276342,Obraz,200,280,-140,-450,183,14:4:22:960
-148.151999,-447.000002,231.201027,Obraz,200,280,-140,-450,183,14:4:22:987
-148.47935,-446.999999,230.913233,Obraz,200,280,-140,-450,183,14:4:23:15
-148.435779,-447.000002,230.390351,Obraz,200,280,-140,-450,183,14:4:23:43
-148.630625,-446.99999,230.460263,Obraz,200,280,-140,-450,183,14:4:23:70
-149.851296,-446.999991,232.14617,Obraz,200,280,-140,-450,183,14:4:23:98
-150.590521,-447.000001,234.358751,Obraz,200,280,-140,-450,183,14:4:23:126
-151.230722,-446.999999,234.9581,Obraz,200,280,-140,-450,183,14:4:23:154
-151.527373,-446.999997,235.340415,Obraz,200,280,-140,-450,183,14:4:23:182
-151.45943,-447.0,234.664667,Obraz,200,280,-140,-450,183,14:4:23:209
-151.883197,-447.000005,234.390212,Obraz,200,280,-140,-450,183,14:4:23:238
-151.536707,-446.999999,232.619522,Obraz,200,280,-140,-450,183,14:4:23:265
