-131.08536,449.000023,189.028158,monalisa,240,330,-140,450,183,13:28:53:804
-131.45535,449.000005,186.535954,monalisa,240,330,-140,450,183,13:28:53:845
-131.779557,449.000012,186.240971,monalisa,240,330,-140,450,183,13:28:53:897
-131.731012,448.999993,182.209626,monalisa,240,330,-140,450,183,13:28:53:952
-132.755679,449.000008,182.765861,monalisa,240,330,-140,450,183,13:28:54:5
-131.53261,448.999978,181.889402,monalisa,240,330,-140,450,183,13:28:54:57
-130.473168,448.999996,180.383022,monalisa,240,330,-140,450,183,13:28:54:109
-129.225841,449.000012,180.499047,monalisa,240,330,-140,450,183,13:28:54:163
-128.886444,448.999995,179.841353,monalisa,240,330,-140,450,183,13:28:54:219
-128.67934,448.99998,180.263211,monalisa,240,330,-140,450,183,13:28:54:252
-128.783567,449.000008,180.781756,monalisa,240,330,-140,450,183,13:28:54:305
-131.33369,448.999988,182.323351,monalisa,240,330,-140,450,183,13:28:54:360
-134.201144,449.000015,225.554041,monalisa,240,330,-140,450,183,13:28:54:391
-133.08338,449.00001,248.177318,monalisa,240,330,-140,450,183,13:28:54:445
-133.72229,448.999993,248.366482,monalisa,240,330,-140,450,183,13:28:54:500
-133.828371,448.999984,249.282993,monalisa,240,330,-140,450,183,13:28:54:532
-132.959972,449.000008,248.556315,monalisa,240,330,-140,450,183,13:28:54:584
-132.875582,449.000015,249.712915,monalisa,240,330,-140,450,183,13:28:54:639
-131.740244,448.999994,250.71568,monalisa,240,330,-140,450,183,13:28:54:670
-131.195231,449.000001,251.763811,monalisa,240,330,-140,450,183,13:28:54:723
-124.757367,449.000002,279.431935,monalisa,240,330,-140,450,183,13:28:54:778
-123.495738,448.999999,280.279741,monalisa,240,330,-140,450,183,13:28:54:834
-122.861716,448.99999,280.11398,monalisa,240,330,-140,450,183,13:28:54:867
-122.265897,448.99998,280.953741,monalisa,240,330,-140,450,183,13:28:54:918
-121.377845,448.999995,280.689645,monalisa,240,330,-140,450,183,13:28:54:950
-122.960168,448.999997,277.306209,monalisa,240,330,-140,450,183,13:28:55:1
-122.609784,449.000007,276.591353,monalisa,240,330,-140,450,183,13:28:55:56
-123.692667,448.999999,276.290499,monalisa,240,330,-140,450,183,13:28:55:112
-123.337051,449.000012,276.118265,monalisa,240,330,-140,450,183,13:28:55:144
-123.835096,448.999987,279.064911,monalisa,240,330,-140,450,183,13:28:55:197
-123.905819,449.000011,277.455873,monalisa,240,330,-140,450,183,13:28:55:252
-122.845831,449.000003,277.15797,monalisa,240,330,-140,450,183,13:28:55:284
-123.093352,449.000001,277.147926,monalisa,240,330,-140,450,183,13:28:55:337
-123.396236,449.000021,276.603662,monalisa,240,330,-140,450,183,13:28:55:392
-124.170874,448.999995,276.396168,monalisa,240,330,-140,450,183,13:28:55:424
-123.386487,449.000007,276.963878,monalisa,240,330,-140,450,183,13:28:55:477
-122.902369,448.999987,277.639339,monalisa,240,330,-140,450,183,13:28:55:532
-122.05167,449.000013,278.162801,monalisa,240,330,-140,450,183,13:28:55:564
-122.145523,448.999996,277.393316,monalisa,240,330,-140,450,183,13:28:55:617
-121.873863,449.000009,276.494934,monalisa,240,330,-140,450,183,13:28:55:649
-121.631788,449.000009,276.430231,monalisa,240,330,-140,450,183,13:28:55:699
-121.576317,449.000012,276.955009,monalisa,240,330,-140,450,183,13:28:55:754
-122.748135,448.999996,277.392378,monalisa,240,330,-140,450,183,13:28:55:811
-122.724416,448.999998,277.229799,monalisa,240,330,-140,450,183,13:28:55:843
