317.290909,449.000012,245.43494,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:42:952
317.567124,449.000018,243.943927,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:9
318.944237,449.000011,246.381944,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:38
320.852134,449.000009,247.18604,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:65
321.202704,448.999987,246.513848,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:94
320.512695,448.999998,245.434017,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:120
316.25521,449.000001,242.602897,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:161
316.419475,449.000019,241.943193,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:188
316.31219,449.000013,240.795062,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:216
314.786801,448.999996,239.748018,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:244
313.976989,448.999991,240.199452,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:286
314.986012,448.999977,241.218564,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:329
314.622941,449.000004,242.568255,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:357
314.111035,448.999984,244.008304,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:386
314.617043,448.999979,246.227641,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:416
314.651474,448.999999,247.215189,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:473
313.862694,448.999996,246.449587,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:496
313.446036,449.000001,244.407906,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:551
313.544787,449.000003,242.879797,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:576
314.137422,448.999993,242.42393,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:609
314.022093,449.000002,242.260022,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:633
314.775799,448.999989,243.503013,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:688
314.277394,449.00001,244.91327,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:715
314.663929,448.999986,243.510309,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:745
314.557522,449.000009,242.027936,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:802
315.925057,448.999994,242.112061,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:825
316.463721,449.000012,241.768959,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:854
317.776709,448.999994,241.055144,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:882
316.784984,448.999995,240.164291,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:911
318.274378,449.000004,241.216889,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:939
319.183673,448.999988,241.670221,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:43:969
320.398248,449.000017,243.09679,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:26
325.059083,449.000023,256.266136,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:49
325.174198,449.000012,256.693373,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:76
324.907647,448.999989,255.646858,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:105
323.906543,449.000022,254.750123,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:162
323.839521,449.000017,255.592652,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:186
323.853515,448.999985,254.708542,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:219
325.45036,448.999992,253.010443,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:243
324.463651,449.000009,252.479228,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:299
324.353219,448.999991,252.310152,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:322
323.970231,449.000008,252.816463,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:351
324.268722,449.000022,251.670111,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:380
323.832659,449.000015,251.635428,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:407
324.644956,448.999998,251.252302,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:433
324.955033,448.999993,251.52101,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:466
325.026949,449.000015,252.124049,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:490
325.013651,448.99999,252.502126,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:521
325.03544,448.999998,252.157708,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:547
324.736474,449.00002,252.377891,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:604
323.905726,448.999997,253.192494,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:628
324.038683,449.000002,253.407857,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:658
324.297428,448.999993,253.343921,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:688
324.694095,449.000019,253.643282,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:710
324.440536,449.000002,253.983534,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:740
324.343511,448.999993,254.289603,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:765
307.732248,449.000008,255.586683,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:794
307.499699,449.000007,255.63662,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:820
296.292892,449.0,256.772958,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:843
296.081429,448.999993,256.821329,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:894
295.758795,449.000005,257.102707,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:916
295.743101,448.999995,257.767876,monalisa,240,330,-78,036861,460,777054,183,080716,13:33:44:942
